# ffprobe -show_packets oracle for fixtures/ps/h264_ac3.ps (MPEG-2 PS, #470)
# columns: codec_type,stream_index,pts,dts,duration,size,keyframe(K=1)
audio,1,49588,49588,3134,416,1
audio,1,52722,52722,3134,418,1
audio,1,55856,55856,3134,418,1
audio,1,58990,58990,3134,418,1
video,0,52200,45000,3600,3833,1
video,0,66600,48600,3600,498,0
video,0,59400,52200,3600,83,0
video,0,N/A,N/A,3600,52,0
video,0,N/A,N/A,3600,43,0
video,0,N/A,N/A,3600,449,0
video,0,N/A,N/A,3600,87,0
video,0,N/A,N/A,3600,34,0
video,0,N/A,N/A,3600,40,0
video,0,N/A,N/A,3600,472,0
video,0,N/A,N/A,3600,94,0
video,0,N/A,N/A,3600,52,0
video,0,N/A,N/A,3600,45,0
audio,1,62124,62124,3134,418,1
audio,1,65261,65261,3134,418,1
audio,1,68395,68395,3134,418,1
audio,1,71529,71529,3134,418,1
audio,1,74663,74663,3134,418,1
video,0,N/A,N/A,3600,474,0
video,0,102600,95400,3600,82,0
video,0,N/A,N/A,3600,43,0
video,0,N/A,N/A,3600,28,0
video,0,N/A,N/A,3600,381,0
video,0,N/A,N/A,3600,53,0
video,0,N/A,N/A,3600,41,0
video,0,N/A,N/A,3600,373,0
video,0,N/A,N/A,3600,56,0
video,0,N/A,N/A,3600,47,0
video,0,N/A,N/A,3600,256,0
video,0,N/A,N/A,3600,120,0
audio,1,77797,77797,3134,418,1
audio,1,80934,80934,3134,418,1
audio,1,84068,84068,3134,418,1
audio,1,87202,87202,3134,418,1
audio,1,90336,90336,3134,418,1
video,0,N/A,N/A,3600,3485,1
video,0,156600,138600,3600,496,0
video,0,N/A,N/A,3600,93,0
video,0,N/A,N/A,3600,51,0
video,0,N/A,N/A,3600,39,0
audio,1,93470,93470,3134,418,1
audio,1,96608,96608,3134,418,1
audio,1,99742,99742,3134,418,1
audio,1,102876,102876,3134,418,1
audio,1,106010,106010,3134,418,1
video,0,N/A,N/A,3600,462,0
video,0,163800,156600,3600,77,0
video,0,N/A,N/A,3600,33,0
video,0,N/A,N/A,3600,26,0
video,0,N/A,N/A,3600,425,0
video,0,N/A,N/A,3600,59,0
video,0,N/A,N/A,3600,33,0
video,0,N/A,N/A,3600,31,0
video,0,N/A,N/A,3600,462,0
video,0,N/A,N/A,3600,62,0
video,0,N/A,N/A,3600,30,0
video,0,N/A,N/A,3600,37,0
audio,1,109144,109144,3134,418,1
audio,1,112281,112281,3134,418,1
audio,1,115415,115415,3134,418,1
audio,1,118549,118549,3134,418,1
audio,1,121683,121683,3134,418,1
audio,1,124817,124817,3134,418,1
audio,1,127955,127955,3134,418,1
audio,1,131089,131089,3134,418,1
audio,1,134223,134223,3134,418,1
audio,1,137357,137357,3134,418,1
audio,1,140494,140494,3134,418,1
audio,1,143628,143628,3134,418,1
audio,1,146762,146762,3134,418,1
audio,1,149896,149896,3134,418,1
video,0,N/A,N/A,3600,480,0
video,0,207000,199800,3600,57,0
video,0,N/A,N/A,3600,27,0
video,0,N/A,N/A,3600,36,0
video,0,N/A,N/A,3600,471,0
video,0,N/A,N/A,3600,64,0
video,0,N/A,N/A,3600,25,0
video,0,N/A,N/A,3600,26,0
audio,1,153030,153030,3134,418,1
audio,1,156167,156167,3134,418,1
audio,1,159301,159301,3134,418,1
audio,1,162435,162435,3134,418,1
audio,1,165569,165569,3134,418,1
audio,1,168703,168703,3134,418,1
audio,1,171841,171841,3134,418,1
audio,1,174975,174975,3134,418,1
audio,1,178109,178109,3134,418,1
audio,1,181243,181243,3134,418,1
video,0,N/A,N/A,3600,3579,1
video,0,246600,228600,3600,503,0
video,0,N/A,N/A,3600,42,0
video,0,N/A,N/A,3600,47,0
video,0,N/A,N/A,3600,32,0
video,0,N/A,N/A,3600,446,0
video,0,N/A,N/A,3600,61,0
video,0,N/A,N/A,3600,31,0
video,0,N/A,N/A,3600,31,0
video,0,N/A,N/A,3600,452,0
video,0,N/A,N/A,3600,60,0
audio,1,184377,184377,3134,418,1
audio,1,187514,187514,3134,418,1
audio,1,190648,190648,3134,418,1
audio,1,193782,193782,3134,418,1
audio,1,196916,196916,3134,418,1
audio,1,200050,200050,3134,418,1
audio,1,203188,203188,3134,416,1
audio,1,206322,206322,3134,418,1
audio,1,209456,209456,3134,418,1
audio,1,212590,212590,3134,418,1
audio,1,215724,215724,3134,418,1
audio,1,218861,218861,3134,418,1
audio,1,221995,221995,3134,418,1
audio,1,225129,225129,3134,418,1
video,0,N/A,N/A,3600,31,0
video,0,289800,271800,3600,41,0
video,0,289800,271800,3600,453,0
video,0,N/A,N/A,3600,72,0
video,0,N/A,N/A,3600,39,0
video,0,N/A,N/A,3600,46,0
video,0,N/A,N/A,3600,421,0
video,0,N/A,N/A,3600,70,0
video,0,N/A,N/A,3600,40,0
video,0,N/A,N/A,3600,47,0
video,0,N/A,N/A,3600,291,0
video,0,N/A,N/A,3600,70,0
video,0,N/A,N/A,3600,32,0
audio,1,228263,228263,3134,418,1
audio,1,231400,231400,3134,418,1
audio,1,234534,234534,3134,418,1
audio,1,237668,237668,3134,418,1
audio,1,240802,240802,3134,418,1
audio,1,243936,243936,3134,418,1
audio,1,247073,247073,3134,418,1
audio,1,250207,250207,3134,418,1
audio,1,253341,253341,3134,418,1
audio,1,256475,256475,3134,418,1
audio,1,259609,259609,3134,418,1
audio,1,262747,262747,3134,418,1
audio,1,265881,265881,3134,418,1
audio,1,269015,269015,3134,418,1
audio,1,272149,272149,3134,418,1
audio,1,275283,275283,3134,418,1
audio,1,278420,278420,3134,418,1
audio,1,281554,281554,3134,418,1
audio,1,284688,284688,3134,418,1
audio,1,287822,287822,3134,418,1
audio,1,290956,290956,3134,418,1
audio,1,294094,294094,3134,418,1
audio,1,297228,297228,3134,418,1
audio,1,300362,300362,3134,418,1
audio,1,303496,303496,3134,418,1
audio,1,306632,306632,3134,418,1
audio,1,309766,309766,3134,418,1
audio,1,312900,312900,3134,418,1
audio,1,316034,316034,3134,418,1
audio,1,319168,319168,3134,418,1
video,0,N/A,N/A,3600,39,0
audio,1,322306,322306,3134,418,1
