# ffprobe -show_packets oracle for fixtures/ts/h264_aac.ts (TS demux gate, #467)
# columns: codec_type,stream_index,pts,dts,duration,size,keyframe(K=1)
video,0,133200,126000,3600,3833,1
video,0,147600,129600,3600,498,0
video,0,140400,133200,3600,83,0
video,0,136800,136800,3600,52,0
video,0,144000,140400,3600,43,0
video,0,162000,144000,3600,449,0
audio,1,131110,131110,2089,321,1
audio,1,133200,133200,2089,374,1
audio,1,135290,135290,2089,229,1
audio,1,137380,137380,2089,256,1
audio,1,139469,139469,2089,317,1
audio,1,141559,141559,2089,315,1
audio,1,143649,143649,2089,258,1
audio,1,145739,145739,2089,258,1
audio,1,147829,147829,2089,288,1
audio,1,149918,149918,2089,296,1
video,0,154800,147600,3600,87,0
video,0,151200,151200,3600,34,0
video,0,158400,154800,3600,40,0
video,0,176400,158400,3600,472,0
video,0,169200,162000,3600,94,0
video,0,165600,165600,3600,52,0
audio,1,152008,152008,2089,299,1
audio,1,154098,154098,2089,288,1
audio,1,156188,156188,2089,314,1
audio,1,158277,158277,2089,298,1
audio,1,160367,160367,2089,248,1
audio,1,162457,162457,2089,326,1
audio,1,164547,164547,2089,327,1
audio,1,166637,166637,2089,240,1
audio,1,168726,168726,2089,264,1
audio,1,170816,170816,2089,266,1
video,0,172800,169200,3600,45,0
video,0,190800,172800,3600,474,0
video,0,183600,176400,3600,82,0
video,0,180000,180000,3600,43,0
video,0,187200,183600,3600,28,0
audio,1,172906,172906,2089,273,1
audio,1,174996,174996,2089,310,1
audio,1,177086,177086,2089,314,1
audio,1,179175,179175,2089,277,1
audio,1,181265,181265,2089,239,1
audio,1,183355,183355,2089,298,1
audio,1,185445,185445,2089,282,1
audio,1,187535,187535,2089,297,1
audio,1,189624,189624,2089,311,1
audio,1,191714,191714,2089,267,1
video,0,201600,187200,3600,381,0
video,0,194400,190800,3600,53,0
video,0,198000,194400,3600,41,0
video,0,212400,198000,3600,373,0
video,0,205200,201600,3600,56,0
video,0,208800,205200,3600,47,0
audio,1,193804,193804,2089,307,1
audio,1,195894,195894,2089,308,1
audio,1,197984,197984,2089,321,1
audio,1,200073,200073,2089,310,1
audio,1,202163,202163,2089,270,1
audio,1,204253,204253,2089,251,1
audio,1,206343,206343,2089,265,1
audio,1,208433,208433,2089,270,1
audio,1,210522,210522,2089,273,1
audio,1,212612,212612,2089,283,1
video,0,216000,208800,3600,256,0
video,0,219600,212400,3600,120,0
video,0,223200,216000,3600,3485,1
video,0,237600,219600,3600,496,0
video,0,230400,223200,3600,93,0
video,0,226800,226800,3600,51,0
audio,1,214702,214702,2089,285,1
audio,1,216792,216792,2089,275,1
audio,1,218882,218882,2089,332,1
audio,1,220971,220971,2089,332,1
audio,1,223061,223061,2089,290,1
audio,1,225151,225151,2089,287,1
audio,1,227241,227241,2089,270,1
audio,1,229331,229331,2089,294,1
audio,1,231420,231420,2089,302,1
audio,1,233510,233510,2089,257,1
video,0,234000,230400,3600,39,0
video,0,252000,234000,3600,462,0
video,0,244800,237600,3600,77,0
video,0,241200,241200,3600,33,0
video,0,248400,244800,3600,26,0
video,0,266400,248400,3600,425,0
audio,1,235600,235600,2089,266,1
audio,1,237690,237690,2089,266,1
audio,1,239780,239780,2089,290,1
audio,1,241869,241869,2089,322,1
audio,1,243959,243959,2089,273,1
audio,1,246049,246049,2089,297,1
audio,1,248139,248139,2089,321,1
audio,1,250229,250229,2089,266,1
audio,1,252318,252318,2089,314,1
audio,1,254408,254408,2089,251,1
video,0,259200,252000,3600,59,0
video,0,255600,255600,3600,33,0
video,0,262800,259200,3600,31,0
video,0,280800,262800,3600,462,0
video,0,273600,266400,3600,62,0
video,0,270000,270000,3600,30,0
audio,1,256498,256498,2089,246,1
audio,1,258588,258588,2089,319,1
audio,1,260677,260677,2089,261,1
audio,1,262767,262767,2089,268,1
audio,1,264857,264857,2089,341,1
audio,1,266947,266947,2089,301,1
audio,1,269037,269037,2089,287,1
audio,1,271126,271126,2089,290,1
audio,1,273216,273216,2089,245,1
audio,1,275306,275306,2089,254,1
video,0,277200,273600,3600,37,0
video,0,295200,277200,3600,480,0
video,0,288000,280800,3600,57,0
video,0,284400,284400,3600,27,0
video,0,291600,288000,3600,36,0
audio,1,277396,277396,2089,296,1
audio,1,279486,279486,2089,292,1
audio,1,281575,281575,2089,315,1
audio,1,283665,283665,2089,281,1
audio,1,285755,285755,2089,269,1
audio,1,287845,287845,2089,274,1
audio,1,289935,289935,2089,275,1
audio,1,292024,292024,2089,301,1
audio,1,294114,294114,2089,339,1
audio,1,296204,296204,2089,259,1
video,0,309600,291600,3600,471,0
video,0,302400,295200,3600,64,0
video,0,298800,298800,3600,25,0
video,0,306000,302400,3600,26,0
video,0,313200,306000,3600,3579,1
video,0,327600,309600,3600,503,0
audio,1,298294,298294,2089,283,1
audio,1,300384,300384,2089,275,1
audio,1,302473,302473,2089,294,1
audio,1,304563,304563,2089,264,1
audio,1,306653,306653,2089,269,1
audio,1,308743,308743,2089,310,1
audio,1,310833,310833,2089,304,1
audio,1,312922,312922,2089,305,1
audio,1,315012,315012,2089,261,1
audio,1,317102,317102,2089,264,1
video,0,320400,313200,3600,42,0
video,0,316800,316800,3600,47,0
video,0,324000,320400,3600,32,0
video,0,342000,324000,3600,446,0
video,0,334800,327600,3600,61,0
video,0,331200,331200,3600,31,0
audio,1,319192,319192,2089,287,1
audio,1,321282,321282,2089,300,1
audio,1,323371,323371,2089,325,1
audio,1,325461,325461,2089,267,1
audio,1,327551,327551,2089,311,1
audio,1,329641,329641,2089,292,1
audio,1,331731,331731,2089,249,1
audio,1,333820,333820,2089,327,1
audio,1,335910,335910,2089,278,1
audio,1,338000,338000,2089,267,1
video,0,338400,334800,3600,31,0
video,0,356400,338400,3600,452,0
video,0,349200,342000,3600,60,0
video,0,345600,345600,3600,31,0
video,0,352800,349200,3600,41,0
video,0,370800,352800,3600,453,0
audio,1,340090,340090,2089,269,1
audio,1,342180,342180,2089,261,1
audio,1,344269,344269,2089,331,1
audio,1,346359,346359,2089,302,1
audio,1,348449,348449,2089,256,1
audio,1,350539,350539,2089,257,1
audio,1,352629,352629,2089,290,1
audio,1,354718,354718,2089,283,1
audio,1,356808,356808,2089,343,1
audio,1,358898,358898,2089,267,1
video,0,363600,356400,3600,72,0
video,0,360000,360000,3600,39,0
video,0,367200,363600,3600,46,0
video,0,385200,367200,3600,421,0
video,0,378000,370800,3600,70,0
video,0,374400,374400,3600,40,0
audio,1,360988,360988,2089,303,1
audio,1,363077,363077,2089,261,1
audio,1,365167,365167,2089,275,1
audio,1,367257,367257,2089,292,1
audio,1,369347,369347,2089,274,1
audio,1,371437,371437,2089,292,1
audio,1,373526,373526,2089,309,1
audio,1,375616,375616,2089,290,1
audio,1,377706,377706,2089,296,1
audio,1,379796,379796,2089,275,1
video,0,381600,378000,3600,47,0
video,0,399600,381600,3600,291,0
video,0,392400,385200,3600,70,0
audio,1,381886,381886,2089,284,1
audio,1,383975,383975,2089,261,1
audio,1,386065,386065,2089,306,1
audio,1,388155,388155,2089,317,1
audio,1,390245,390245,2089,267,1
audio,1,392335,392335,2089,286,1
audio,1,394424,394424,2089,252,1
audio,1,396514,396514,2089,297,1
audio,1,398604,398604,2089,300,1
audio,1,400694,400694,2089,373,1
audio,1,402784,402784,2089,12,1
video,0,388800,388800,3600,32,0
video,0,396000,392400,3600,39,0
